Date_Key,Date,Year,Month,MonthName,Week,WeekDay,WeekDayName,DayNumber
20160728,7/28/2016,2016,7,July,31,5,Thursday,28
20160729,7/29/2016,2016,7,July,31,6,Friday,29
20160730,7/30/2016,2016,7,July,31,7,Saturday,30
20160731,7/31/2016,2016,7,July,32,1,Sunday,31
20160801,8/1/2016,2016,8,August,32,2,Monday,1
20160802,8/2/2016,2016,8,August,32,3,Tuesday,2
20160803,8/3/2016,2016,8,August,32,4,Wednesday,3
20160804,8/4/2016,2016,8,August,32,5,Thursday,4
20160805,8/5/2016,2016,8,August,32,6,Friday,5
20160806,8/6/2016,2016,8,August,32,7,Saturday,6
20160807,8/7/2016,2016,8,August,33,1,Sunday,7
20160808,8/8/2016,2016,8,August,33,2,Monday,8
20160809,8/9/2016,2016,8,August,33,3,Tuesday,9
20160810,8/10/2016,2016,8,August,33,4,Wednesday,10
20160811,8/11/2016,2016,8,August,33,5,Thursday,11
20160812,8/12/2016,2016,8,August,33,6,Friday,12
20160813,8/13/2016,2016,8,August,33,7,Saturday,13
20160814,8/14/2016,2016,8,August,34,1,Sunday,14
20160815,8/15/2016,2016,8,August,34,2,Monday,15
20160816,8/16/2016,2016,8,August,34,3,Tuesday,16
20160817,8/17/2016,2016,8,August,34,4,Wednesday,17
20160818,8/18/2016,2016,8,August,34,5,Thursday,18
20160819,8/19/2016,2016,8,August,34,6,Friday,19
20160820,8/20/2016,2016,8,August,34,7,Saturday,20
20160821,8/21/2016,2016,8,August,35,1,Sunday,21
20160822,8/22/2016,2016,8,August,35,2,Monday,22
20160823,8/23/2016,2016,8,August,35,3,Tuesday,23
20160824,8/24/2016,2016,8,August,35,4,Wednesday,24
20160825,8/25/2016,2016,8,August,35,5,Thursday,25
20160826,8/26/2016,2016,8,August,35,6,Friday,26
20160827,8/27/2016,2016,8,August,35,7,Saturday,27
20160828,8/28/2016,2016,8,August,36,1,Sunday,28
20160829,8/29/2016,2016,8,August,36,2,Monday,29
20160830,8/30/2016,2016,8,August,36,3,Tuesday,30
20160831,8/31/2016,2016,8,August,36,4,Wednesday,31
20160901,9/1/2016,2016,9,September,36,5,Thursday,1
20160902,9/2/2016,2016,9,September,36,6,Friday,2
20160903,9/3/2016,2016,9,September,36,7,Saturday,3
20160904,9/4/2016,2016,9,September,37,1,Sunday,4
20160905,9/5/2016,2016,9,September,37,2,Monday,5
